%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1555410569928961195,8,1555410569928723096,,0.0,0.0,1.0
1555410570028861212,9,1555410570028683900,,1.0,0.0,1.0
1555410570128903123,10,1555410570128704071,,1.0,0.0,1.0
1555410570228952978,11,1555410570228719949,,1.0,1.0,1.0
1555410570328973462,12,1555410570328723907,,1.0,0.0,1.0
1555410570428831549,13,1555410570428670883,,0.0,0.0,1.0
1555410570528981417,14,1555410570528748035,,0.0,1.0,1.0
1555410570628983388,15,1555410570628747940,,0.0,0.0,1.0
1555410570728929067,16,1555410570728707075,,0.0,0.0,1.0
1555410570828902970,17,1555410570828668117,,1.0,1.0,1.0
1555410570928950359,18,1555410570928725004,,0.0,0.0,1.0
1555410571028980631,19,1555410571028748035,,0.0,1.0,1.0
1555410571128969619,20,1555410571128746032,,0.0,0.0,1.0
1555410571228836771,21,1555410571228673934,,1.0,0.0,1.0
1555410571329013380,22,1555410571328682899,,1.0,1.0,1.0
1555410571428972709,23,1555410571428745031,,1.0,1.0,1.0
1555410571528980985,24,1555410571528747081,,1.0,1.0,1.0
1555410571629010900,25,1555410571628767013,,0.0,1.0,1.0
1555410571728980688,26,1555410571728746891,,1.0,1.0,1.0
1555410571829002020,27,1555410571828761100,,0.0,0.0,1.0
1555410571928886646,28,1555410571928698062,,0.0,1.0,1.0
1555410572028987352,29,1555410572028753995,,1.0,0.0,1.0
1555410572128981235,30,1555410572128745079,,1.0,0.0,1.0
1555410572228978732,31,1555410572228740930,,0.0,0.0,1.0
1555410572329043257,32,1555410572328746080,,0.0,1.0,1.0
1555410572428976750,33,1555410572428694009,,1.0,0.0,1.0
1555410572529422493,34,1555410572528676033,,0.0,0.0,1.0
1555410572628922874,35,1555410572628719091,,0.0,0.0,1.0
1555410572729014580,36,1555410572728746891,,1.0,0.0,1.0
1555410572828886029,37,1555410572828691959,,0.0,0.0,1.0
1555410572928999015,38,1555410572928747892,,0.0,1.0,1.0
1555410573029003226,39,1555410573028736114,,0.0,1.0,1.0
1555410573128888011,40,1555410573128644943,,0.0,1.0,1.0
1555410573228999872,41,1555410573228746891,,1.0,0.0,1.0
1555410573328981614,42,1555410573328748941,,0.0,0.0,1.0
1555410573428921569,43,1555410573428693056,,1.0,0.0,1.0
1555410573528872409,44,1555410573528687953,,1.0,0.0,1.0
1555410573628978481,45,1555410573628745079,,1.0,1.0,1.0
1555410573728948280,46,1555410573728705883,,1.0,1.0,1.0
1555410573829148640,47,1555410573828758955,,0.0,0.0,1.0
1555410573929129907,48,1555410573928745985,,0.0,0.0,1.0
1555410574029010668,49,1555410574028747081,,0.0,1.0,1.0
1555410574128998920,50,1555410574128746032,,1.0,0.0,1.0
1555410574228982936,51,1555410574228724002,,1.0,1.0,1.0
1555410574328975446,52,1555410574328742027,,0.0,1.0,1.0
1555410574428939600,53,1555410574428702116,,0.0,0.0,1.0
1555410574528948919,54,1555410574528713941,,1.0,0.0,1.0
1555410574629083509,55,1555410574628707885,,1.0,1.0,1.0
1555410574728965035,56,1555410574728728055,,1.0,0.0,1.0
1555410574828996317,57,1555410574828749895,,1.0,1.0,1.0
1555410574928981515,58,1555410574928746938,,0.0,0.0,1.0
1555410575028990847,59,1555410575028747081,,1.0,0.0,1.0
1555410575129202462,60,1555410575128753900,,1.0,0.0,1.0
1555410575229141704,61,1555410575228746891,,0.0,1.0,1.0
1555410575329145903,62,1555410575328748941,,1.0,1.0,1.0
1555410575429122390,63,1555410575428746938,,1.0,1.0,1.0
1555410575529154203,64,1555410575528767108,,1.0,0.0,1.0
1555410575629121118,65,1555410575628732919,,0.0,0.0,1.0
1555410575728989105,66,1555410575728746891,,1.0,1.0,1.0
1555410575829150906,67,1555410575828748941,,0.0,0.0,1.0
1555410575929148971,68,1555410575928755044,,1.0,1.0,1.0
1555410576028956290,69,1555410576028711080,,0.0,1.0,1.0
