%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1555407141358089989,9,1555407141357831001,,1.0,0.0,1.0
1555407141458065169,10,1555407141457834005,,1.0,0.0,1.0
1555407141558064295,11,1555407141557835102,,1.0,1.0,1.0
1555407141658076922,12,1555407141657835006,,1.0,0.0,1.0
1555407141758147366,13,1555407141757864952,,0.0,0.0,1.0
1555407141858048121,14,1555407141857819080,,0.0,1.0,1.0
1555407141958051618,15,1555407141957803964,,0.0,0.0,1.0
1555407142058039938,16,1555407142057806968,,0.0,0.0,1.0
1555407142158137001,17,1555407142157833099,,1.0,1.0,1.0
1555407142258131405,18,1555407142257833003,,0.0,0.0,1.0
1555407142358072078,19,1555407142357836008,,0.0,1.0,1.0
1555407142457967075,20,1555407142457776069,,0.0,0.0,1.0
1555407142558202702,21,1555407142557832002,,1.0,0.0,1.0
1555407142658060586,22,1555407142657814979,,1.0,1.0,1.0
1555407142757925612,23,1555407142757776021,,1.0,1.0,1.0
1555407142858082158,24,1555407142857846021,,1.0,1.0,1.0
1555407142958021788,25,1555407142957768917,,0.0,1.0,1.0
1555407143058116009,26,1555407143057836055,,1.0,1.0,1.0
1555407143157928086,27,1555407143157757997,,0.0,0.0,1.0
1555407143258086454,28,1555407143257832050,,0.0,1.0,1.0
1555407143358084826,29,1555407143357835054,,1.0,0.0,1.0
1555407143458114385,30,1555407143457849979,,1.0,0.0,1.0
1555407143558099056,31,1555407143557840108,,0.0,0.0,1.0
1555407143657992982,32,1555407143657763004,,0.0,1.0,1.0
1555407143758053737,33,1555407143757752895,,1.0,0.0,1.0
1555407143858213755,34,1555407143857834100,,0.0,0.0,1.0
1555407143957961369,35,1555407143957755088,,0.0,0.0,1.0
1555407144058017393,36,1555407144057799100,,1.0,0.0,1.0
1555407144157966748,37,1555407144157778024,,0.0,0.0,1.0
1555407144257985933,38,1555407144257757902,,0.0,1.0,1.0
1555407144357970736,39,1555407144357767105,,0.0,1.0,1.0
1555407144457963212,40,1555407144457762002,,0.0,1.0,1.0
1555407144558075167,41,1555407144557837009,,1.0,0.0,1.0
1555407144657990204,42,1555407144657779932,,0.0,0.0,1.0
1555407144758056299,43,1555407144757833003,,1.0,0.0,1.0
1555407144858121579,44,1555407144857886075,,1.0,0.0,1.0
