%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1555407141280943455,1,1555407141280404445,,-2.60889267921,-1.28969800472,1.70349125895
1555407141291251526,2,1555407141290800736,,-2.6077682972,-1.29048228264,1.60915296019
1555407141300660837,3,1555407141300168172,,-2.60578775406,-1.29131376743,1.50037868925
1555407141310991846,4,1555407141310524892,,-2.60488510132,-1.29145431519,1.40717044812
1555407141311189025,5,1555407141310560545,,-2.603515625,-1.29207980633,1.32142704794
1555407141320285444,6,1555407141319772585,,-2.6019616127,-1.29219245911,1.21592406133
1555407141330623124,7,1555407141330138760,,-2.60066342354,-1.29308271408,1.11375916632
1555407141340942180,8,1555407141340494284,,-2.59904074669,-1.29323244095,1.01850943276
1555407141350243162,9,1555407141349749145,,-2.5973072052,-1.29378473759,0.926736170318
1555407141360477423,10,1555407141360058549,,-2.59581041336,-1.29326462746,0.82078849198
1555407141370879902,11,1555407141370389161,,-2.59337353706,-1.29401838779,0.715138706313
1555407141371044936,12,1555407141370420576,,-2.59238886833,-1.29388403893,0.608373656311
1555407141381198483,13,1555407141380761806,,-2.59094071388,-1.29440104961,0.508962091302
1555407141390581462,14,1555407141390120966,,-2.58853840828,-1.29448914528,0.422870804173
1555407141400977882,15,1555407141400488100,,-2.58663272858,-1.2946562767,0.325030872802
1555407141401145310,16,1555407141400552532,,-2.58407473564,-1.29494476318,0.227761966596
1555407141410057500,17,1555407141409759032,,-2.58205866814,-1.29528915882,0.132949033453
1555407141420554997,18,1555407141420097827,,-2.58019757271,-1.29527807236,0.0285408809565
1555407141430900175,19,1555407141430451943,,-2.57743310928,-1.29587113857,-0.0676616072189
1555407141440176855,20,1555407141439693298,,-2.5750670433,-1.29591345787,-0.161806262931
1555407141450477885,21,1555407141450013912,,-2.57320618629,-1.29664599895,-0.253416512766
1555407141460726171,22,1555407141460309830,,-2.57004237175,-1.29787480831,-0.351593781321
1555407141460870354,23,1555407141460341568,,-2.56799149513,-1.29850006104,-0.43739029631
1555407141471017385,24,1555407141470554700,,-2.56543636322,-1.29975104332,-0.517818266546
1555407141480347993,25,1555407141479887646,,-2.56281685829,-1.3008698225,-0.59742612229
1555407141490734414,26,1555407141490276466,,-2.55981612206,-1.30186724663,-0.69852267374
1555407141501079226,27,1555407141500620658,,-2.5571410656,-1.30384480953,-0.76700024704
1555407141501230315,28,1555407141500656032,,-2.55442976952,-1.30531573296,-0.849023719509
1555407141510068858,29,1555407141509847288,,-2.55295538902,-1.30643904209,-0.914359746292
1555407141520671703,30,1555407141520151787,,-2.54971957207,-1.30844688416,-0.99009068029
1555407141530973127,31,1555407141530515919,,-2.546905756,-1.31069028378,-1.05246531418
1555407141540230777,32,1555407141539760423,,-2.5439786911,-1.31272304058,-1.12728793301
1555407141550560884,33,1555407141550103034,,-2.54189729691,-1.31432759762,-1.19418754046
1555407141560845263,34,1555407141560389715,,-2.53870511055,-1.31653857231,-1.26158496902
1555407141561008365,35,1555407141560421173,,-2.53647041321,-1.31872904301,-1.32540265285
1555407141571186775,36,1555407141570708772,,-2.53381085396,-1.32122528553,-1.38895228743
1555407141580551381,37,1555407141580070723,,-2.53161501884,-1.32346796989,-1.44498951667
1555407141590894782,38,1555407141590433508,,-2.52909970284,-1.3260217905,-1.50007579152
1555407141600158037,39,1555407141599686187,,-2.52674889565,-1.32899224758,-1.55843868737
1555407141610465804,40,1555407141609990827,,-2.52434873581,-1.33171069622,-1.61119130517
1555407141610614364,41,1555407141610026351,,-2.52211618423,-1.33471286297,-1.66649833255
1555407141620549852,42,1555407141620258964,,-2.52005505562,-1.33768260479,-1.71671572245
1555407141631016008,43,1555407141630537085,,-2.5174574852,-1.34143817425,-1.76602712888
1555407141640268102,44,1555407141639787683,,-2.51556229591,-1.34389805794,-1.81360776698
1555407141650593924,45,1555407141650128913,,-2.51368379593,-1.34761059284,-1.8623203955
1555407141660818667,46,1555407141660415358,,-2.51199126244,-1.35121309757,-1.92802102815
1555407141671206182,47,1555407141670733431,,-2.50998854637,-1.35488343239,-1.97761475563
1555407141671377216,48,1555407141670766619,,-2.50737428665,-1.35834157467,-2.03327702487
1555407141680529676,49,1555407141680064910,,-2.5069038868,-1.3618619442,-2.08262314105
1555407141690922998,50,1555407141690440141,,-2.50547838211,-1.36622071266,-2.1240554445
1555407141700165445,51,1555407141699695322,,-2.5035469532,-1.37014758587,-2.18948558243
1555407141710611236,52,1555407141710115860,,-2.50312590599,-1.37381863594,-2.22920888034
1555407141710769403,53,1555407141710151253,,-2.50227332115,-1.37853872776,-2.28688093086
1555407141720652500,54,1555407141720339410,,-2.5017375946,-1.38189482689,-2.32618624862
1555407141731143063,55,1555407141730660111,,-2.50122952461,-1.3865070343,-2.37027462375
1555407141740501033,56,1555407141740031832,,-2.50004863739,-1.39062595367,-2.42649710868
1555407141750787033,57,1555407141750317300,,-2.50019407272,-1.39471971989,-2.46528604072
1555407141771973387,58,1555407141770029250,,-2.49948096275,-1.39912998676,-2.5136812084
1555407141771979540,59,1555407141770074816,,-2.49941086769,-1.40824651718,-2.59921835699
1555407141780818601,60,1555407141780329684,,-2.49926614761,-1.4122467041,-2.63837732883
1555407141791150020,61,1555407141790707932,,-2.499532938,-1.41555583477,-2.65948020907
1555407141800232189,62,1555407141799967148,,-2.49986124039,-1.42072057724,-2.70478426547
1555407141810466565,63,1555407141810157048,,-2.50019288063,-1.42463982105,-2.74207722074
1555407141810623185,64,1555407141810173183,,-2.50069975853,-1.42931115627,-2.78045908404
1555407141820584021,65,1555407141820353274,,-2.5012242794,-1.43299841881,-2.81636355566
1555407141830873024,66,1555407141830547337,,-2.50243449211,-1.43724679947,-2.8446529534
1555407141840250041,67,1555407141839788843,,-2.50318002701,-1.44109272957,-2.87775279647
1555407141850601814,68,1555407141850120983,,-2.50337290764,-1.44539403915,-2.91049976451
1555407141871208903,69,1555407141870717298,,-2.50486397743,-1.44925475121,-2.94566910832
1555407141871379253,70,1555407141870752724,,-2.50569534302,-1.45311319828,-2.97127088153
1555407141880555936,71,1555407141880050319,,-2.50649285316,-1.45688867569,-2.99431552727
1555407141880689905,72,1555407141880086365,,-2.50776767731,-1.46089613438,-3.02480779011
1555407141890556220,73,1555407141890279243,,-2.5089840889,-1.46445131302,-3.06601977538
1555407141901025592,74,1555407141900564669,,-2.50893616676,-1.46880400181,-3.08789839229
1555407141901202735,75,1555407141900598280,,-2.50951147079,-1.47260963917,-3.12598419728
1555407141910024098,76,1555407141909768119,,-2.51085329056,-1.47585678101,3.14114242902
1555407141920210956,77,1555407141919963512,,-2.51225924492,-1.4794242382,3.10178608734
1555407141930374372,78,1555407141930159851,,-2.51312685013,-1.48342454433,3.07340834107
1555407141940592809,79,1555407141940316102,,-2.5146214962,-1.48706746101,3.05314616766
1555407141951064284,80,1555407141950617953,,-2.51573324203,-1.49079453945,3.01781523874
1555407141980856241,81,1555407141980373923,,-2.5179066658,-1.49436903,2.98147989339
1555407141981026837,82,1555407141980425925,,-2.52184820175,-1.50542867184,2.86685648021
1555407141991194614,83,1555407141990772828,,-2.52355527878,-1.50903952122,2.81258801207
1555407142000275618,84,1555407142000013500,,-2.52479743958,-1.51203250885,2.76203921316
1555407142010498475,85,1555407142010224159,,-2.52686405182,-1.51539433002,2.71798570359
1555407142010674687,86,1555407142010254584,,-2.52925872803,-1.51857244968,2.67919788383
1555407142020912949,87,1555407142020661739,,-2.53148460388,-1.52227795124,2.63058187028
1555407142030534063,88,1555407142030041017,,-2.53354716301,-1.52561295033,2.58515488509
1555407142040822111,89,1555407142040383913,,-2.53582072258,-1.52877962589,2.5368486643
1555407142051207190,90,1555407142050728723,,-2.53751015663,-1.53206837177,2.48816511667
1555407142051372899,91,1555407142050786907,,-2.53976416588,-1.53530406952,2.43392363262
1555407142070478495,92,1555407142070000038,,-2.54239606857,-1.53807032108,2.37850357316
1555407142070627675,93,1555407142070039169,,-2.54344153404,-1.54070055485,2.35569986815
1555407142080589318,94,1555407142080289613,,-2.54687428474,-1.54391503334,2.28108226366
1555407142091114456,95,1555407142090668076,,-2.54861569405,-1.54724931717,2.22930579184
1555407142100509554,96,1555407142100061547,,-2.55067777634,-1.54978644848,2.17701406135
1555407142110920022,97,1555407142110439737,,-2.55321884155,-1.55254149437,2.12807927315
