%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1554974746139868274,8,1554974746139632940,,0.0,1.0,1.0
1554974746239938985,9,1554974746239670038,,0.0,0.0,1.0
1554974746339882197,10,1554974746339565038,,1.0,1.0,1.0
1554974746439880222,11,1554974746439613103,,1.0,1.0,1.0
1554974746539900700,12,1554974746539604902,,1.0,0.0,1.0
1554974746639865155,13,1554974746639611959,,0.0,0.0,1.0
1554974746739837593,14,1554974746739602088,,1.0,0.0,1.0
1554974746839840307,15,1554974746839603900,,0.0,0.0,1.0
1554974746939843201,16,1554974746939605951,,0.0,0.0,1.0
1554974747039885054,17,1554974747039608001,,1.0,0.0,1.0
1554974747139881669,18,1554974747139621019,,0.0,1.0,1.0
1554974747239847622,19,1554974747239609956,,0.0,0.0,1.0
1554974747339830037,20,1554974747339560031,,0.0,0.0,1.0
1554974747439905566,21,1554974747439615011,,1.0,1.0,1.0
1554974747539826811,22,1554974747539573907,,1.0,0.0,1.0
1554974747639857340,23,1554974747639609098,,0.0,1.0,1.0
1554974747739897475,24,1554974747739604949,,1.0,1.0,1.0
1554974747839878358,25,1554974747839607954,,0.0,0.0,1.0
1554974747939865741,26,1554974747939610004,,1.0,1.0,1.0
1554974748039874520,27,1554974748039608001,,1.0,1.0,1.0
1554974748139910070,28,1554974748139611005,,0.0,0.0,1.0
1554974748239858580,29,1554974748239603996,,1.0,1.0,1.0
1554974748339780890,30,1554974748339528083,,1.0,1.0,1.0
1554974748439875288,31,1554974748439624071,,1.0,0.0,1.0
1554974748539862955,32,1554974748539606094,,1.0,0.0,1.0
1554974748639858506,33,1554974748639602899,,1.0,1.0,1.0
1554974748739993875,34,1554974748739604949,,0.0,0.0,1.0
1554974748839904707,35,1554974748839612960,,1.0,0.0,1.0
1554974748939905839,36,1554974748939666032,,1.0,0.0,1.0
1554974749039845302,37,1554974749039599895,,0.0,0.0,1.0
1554974749139813641,38,1554974749139571905,,0.0,0.0,1.0
1554974749239825591,39,1554974749239582061,,1.0,0.0,1.0
1554974749339881800,40,1554974749339617967,,1.0,1.0,1.0
1554974749439864102,41,1554974749439603090,,0.0,1.0,1.0
1554974749539853171,42,1554974749539601087,,0.0,0.0,1.0
1554974749639856169,43,1554974749639606952,,0.0,1.0,1.0
1554974749739847970,44,1554974749739600896,,1.0,0.0,1.0
1554974749839851659,45,1554974749839607000,,0.0,0.0,1.0
1554974749939857028,46,1554974749939605951,,1.0,1.0,1.0
1554974750039858102,47,1554974750039609909,,1.0,0.0,1.0
1554974750139854652,48,1554974750139607906,,1.0,1.0,1.0
1554974750239859401,49,1554974750239604949,,0.0,0.0,1.0
1554974750339872226,50,1554974750339610099,,0.0,1.0,1.0
1554974750439861600,51,1554974750439608097,,0.0,1.0,1.0
1554974750539893723,52,1554974750539604902,,0.0,1.0,1.0
1554974750639895949,53,1554974750639606952,,0.0,1.0,1.0
1554974750739913472,54,1554974750739608049,,1.0,0.0,1.0
1554974750839921875,55,1554974750839608907,,0.0,1.0,1.0
1554974750940057493,56,1554974750939609050,,0.0,0.0,1.0
1554974751039867076,57,1554974751039607048,,0.0,1.0,1.0
1554974751139870600,58,1554974751139605998,,0.0,1.0,1.0
1554974751239874271,59,1554974751239608049,,1.0,1.0,1.0
