%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1555407030024967634,7,1555407030024693965,,0.0,0.0,1.0
1555407030124945674,8,1555407030124754905,,1.0,0.0,1.0
1555407030224863647,9,1555407030224675893,,1.0,0.0,1.0
1555407030324878023,10,1555407030324697017,,1.0,1.0,1.0
1555407030424912348,11,1555407030424696922,,1.0,0.0,1.0
1555407030524893164,12,1555407030524672031,,0.0,0.0,1.0
1555407030625007185,13,1555407030624747037,,0.0,1.0,1.0
1555407030724975851,14,1555407030724693059,,0.0,0.0,1.0
1555407030824943764,15,1555407030824717044,,0.0,0.0,1.0
1555407030924847772,16,1555407030924681901,,1.0,1.0,1.0
1555407031024830481,17,1555407031024669885,,0.0,0.0,1.0
1555407031124856048,18,1555407031124695062,,0.0,1.0,1.0
1555407031224847559,19,1555407031224684000,,0.0,0.0,1.0
1555407031324837575,20,1555407031324673891,,1.0,0.0,1.0
1555407031424942666,21,1555407031424691915,,1.0,1.0,1.0
1555407031524869665,22,1555407031524704933,,1.0,1.0,1.0
1555407031624841140,23,1555407031624669075,,1.0,1.0,1.0
1555407031724903798,24,1555407031724699020,,0.0,1.0,1.0
1555407031825074657,25,1555407031824780941,,1.0,1.0,1.0
1555407031924996398,26,1555407031924690008,,0.0,0.0,1.0
1555407032024997555,27,1555407032024746894,,0.0,1.0,1.0
1555407032124997213,28,1555407032124686956,,1.0,0.0,1.0
1555407032225052570,29,1555407032224698066,,1.0,0.0,1.0
1555407032325029409,30,1555407032324671983,,0.0,0.0,1.0
1555407032424875749,31,1555407032424700021,,0.0,1.0,1.0
1555407032525018862,32,1555407032524701118,,1.0,0.0,1.0
1555407032624912683,33,1555407032624696016,,0.0,0.0,1.0
1555407032725022527,34,1555407032724709033,,0.0,0.0,1.0
1555407032825030947,35,1555407032824707984,,1.0,0.0,1.0
1555407032925006751,36,1555407032924681901,,0.0,0.0,1.0
1555407033024919922,37,1555407033024672985,,0.0,1.0,1.0
1555407033125363777,38,1555407033124676942,,0.0,1.0,1.0
1555407033225061805,39,1555407033224698066,,0.0,1.0,1.0
1555407033324869989,40,1555407033324673891,,1.0,0.0,1.0
1555407033425062195,41,1555407033424751043,,0.0,0.0,1.0
1555407033525020752,42,1555407033524749040,,1.0,0.0,1.0
1555407033624952780,43,1555407033624757051,,1.0,0.0,1.0
1555407033724980880,44,1555407033724710941,,1.0,1.0,1.0
1555407033824985572,45,1555407033824711084,,1.0,1.0,1.0
1555407033924906783,46,1555407033924679994,,0.0,0.0,1.0
1555407034024899681,47,1555407034024671077,,0.0,0.0,1.0
1555407034124858904,48,1555407034124655961,,0.0,1.0,1.0
1555407034224890956,49,1555407034224693059,,1.0,0.0,1.0
1555407034325326655,50,1555407034324698925,,1.0,1.0,1.0
1555407034424861010,51,1555407034424674987,,0.0,1.0,1.0
1555407034524859928,52,1555407034524672031,,0.0,0.0,1.0
1555407034624862645,53,1555407034624696969,,1.0,0.0,1.0
1555407034725026764,54,1555407034724683046,,1.0,1.0,1.0
1555407034824881627,55,1555407034824706077,,1.0,0.0,1.0
1555407034924975734,56,1555407034924669981,,1.0,1.0,1.0
1555407035024839261,57,1555407035024671077,,0.0,0.0,1.0
1555407035124911214,58,1555407035124696969,,1.0,0.0,1.0
1555407035224918324,59,1555407035224698066,,1.0,0.0,1.0
1555407035324860991,60,1555407035324690103,,0.0,1.0,1.0
1555407035424832166,61,1555407035424665927,,1.0,1.0,1.0
1555407035524889230,62,1555407035524668931,,1.0,1.0,1.0
1555407035624909997,63,1555407035624701976,,1.0,0.0,1.0
1555407035724883503,64,1555407035724700927,,0.0,0.0,1.0
1555407035824872644,65,1555407035824701070,,1.0,1.0,1.0
1555407035924882884,66,1555407035924680948,,0.0,0.0,1.0
1555407036024996161,67,1555407036024751901,,1.0,1.0,1.0
1555407036125025698,68,1555407036124686956,,0.0,1.0,1.0
1555407036224865112,69,1555407036224687099,,0.0,1.0,1.0
1555407036324861541,70,1555407036324687004,,0.0,0.0,1.0
1555407036424887580,71,1555407036424680948,,1.0,1.0,1.0
1555407036524843671,72,1555407036524674892,,0.0,0.0,1.0
1555407036624865335,73,1555407036624663114,,1.0,0.0,1.0
1555407036724875605,74,1555407036724706888,,0.0,0.0,1.0
1555407036824870525,75,1555407036824696063,,0.0,0.0,1.0
1555407036924868738,76,1555407036924695968,,0.0,0.0,1.0
1555407037024838116,77,1555407037024667024,,0.0,0.0,1.0
1555407037124859262,78,1555407037124689102,,1.0,0.0,1.0
1555407037224839984,79,1555407037224666118,,1.0,1.0,1.0
1555407037324886124,80,1555407037324686050,,0.0,0.0,1.0
1555407037424871726,81,1555407037424671888,,1.0,1.0,1.0
1555407037525003080,82,1555407037524674892,,1.0,1.0,1.0
1555407037624866521,83,1555407037624633073,,0.0,0.0,1.0
1555407037724923772,84,1555407037724701881,,1.0,1.0,1.0
1555407037824876288,85,1555407037824706077,,0.0,0.0,1.0
1555407037924840378,86,1555407037924668073,,0.0,0.0,1.0
1555407038024852757,87,1555407038024672985,,0.0,1.0,1.0
1555407038124864814,88,1555407038124689102,,1.0,1.0,1.0
1555407038224930676,89,1555407038224685907,,1.0,1.0,1.0
1555407038324868167,90,1555407038324683904,,0.0,0.0,1.0
1555407038424931424,91,1555407038424690961,,0.0,1.0,1.0
1555407038524950697,92,1555407038524698972,,0.0,0.0,1.0
1555407038624870002,93,1555407038624691009,,1.0,1.0,1.0
1555407038724886257,94,1555407038724699974,,1.0,1.0,1.0
1555407038824893315,95,1555407038824687957,,1.0,0.0,1.0
1555407038925016620,96,1555407038924710035,,1.0,0.0,1.0
1555407039024879527,97,1555407039024701118,,1.0,1.0,1.0
1555407039124822406,98,1555407039124663114,,1.0,1.0,1.0
1555407039224838489,99,1555407039224699974,,0.0,1.0,1.0
1555407039324916493,100,1555407039324681043,,0.0,0.0,1.0
1555407039424939580,101,1555407039424685955,,0.0,0.0,1.0
1555407039524845706,102,1555407039524676084,,1.0,1.0,1.0
1555407039624852466,103,1555407039624692916,,0.0,1.0,1.0
1555407039724953890,104,1555407039724776029,,0.0,1.0,1.0
1555407039824901377,105,1555407039824698925,,0.0,1.0,1.0
1555407039924997228,106,1555407039924721956,,1.0,1.0,1.0
1555407040025185687,107,1555407040024746894,,0.0,1.0,1.0
1555407040124860568,108,1555407040124679088,,1.0,1.0,1.0
1555407040224851382,109,1555407040224673986,,1.0,0.0,1.0
1555407040324991412,110,1555407040324680089,,0.0,0.0,1.0
1555407040424885248,111,1555407040424645900,,0.0,1.0,1.0
1555407040524878150,112,1555407040524704933,,0.0,1.0,1.0
1555407040624840961,113,1555407040624664068,,0.0,0.0,1.0
1555407040724853025,114,1555407040724670886,,1.0,0.0,1.0
1555407040824841750,115,1555407040824671983,,0.0,1.0,1.0
1555407040924875954,116,1555407040924665927,,1.0,1.0,1.0
1555407041024946567,117,1555407041024703979,,0.0,0.0,1.0
1555407041124845137,118,1555407041124665975,,1.0,1.0,1.0
1555407041224940084,119,1555407041224703073,,1.0,0.0,1.0
1555407041324885011,120,1555407041324683904,,0.0,1.0,1.0
1555407041424839555,121,1555407041424673080,,1.0,0.0,1.0
1555407041524877012,122,1555407041524679899,,0.0,0.0,1.0
1555407041624826022,123,1555407041624661922,,1.0,1.0,1.0
1555407041724855077,124,1555407041724685907,,1.0,1.0,1.0
1555407041824901811,125,1555407041824673891,,1.0,0.0,1.0
1555407041924872727,126,1555407041924674987,,1.0,1.0,1.0
1555407042024837371,127,1555407042024672031,,1.0,1.0,1.0
1555407042124823373,128,1555407042124661922,,1.0,0.0,1.0
1555407042224862439,129,1555407042224704027,,0.0,0.0,1.0
1555407042325079817,130,1555407042324712038,,1.0,0.0,1.0
1555407042424853004,131,1555407042424669027,,0.0,0.0,1.0
1555407042524943281,132,1555407042524669885,,1.0,0.0,1.0
1555407042625077780,133,1555407042624708890,,0.0,0.0,1.0
1555407042724933376,134,1555407042724708080,,1.0,1.0,1.0
1555407042824954179,135,1555407042824671983,,0.0,0.0,1.0
1555407042925062464,136,1555407042924751043,,1.0,0.0,1.0
1555407043024862419,137,1555407043024672985,,0.0,1.0,1.0
1555407043124881985,138,1555407043124661922,,0.0,0.0,1.0
1555407043225007394,139,1555407043224689006,,0.0,1.0,1.0
1555407043324874816,140,1555407043324676036,,0.0,1.0,1.0
1555407043424870022,141,1555407043424664974,,0.0,0.0,1.0
1555407043524871701,142,1555407043524702072,,1.0,1.0,1.0
1555407043624881835,143,1555407043624665975,,0.0,1.0,1.0
1555407043724852385,144,1555407043724684953,,1.0,0.0,1.0
1555407043824854527,145,1555407043824671030,,0.0,1.0,1.0
1555407043925105614,146,1555407043924777984,,0.0,1.0,1.0
1555407044024889794,147,1555407044024708032,,1.0,0.0,1.0
1555407044124894752,148,1555407044124701976,,0.0,0.0,1.0
1555407044224871535,149,1555407044224700927,,1.0,0.0,1.0
1555407044324881111,150,1555407044324671030,,1.0,0.0,1.0
1555407044425038635,151,1555407044424686908,,1.0,0.0,1.0
1555407044524898539,152,1555407044524674892,,1.0,0.0,1.0
1555407044624874670,153,1555407044624697923,,1.0,0.0,1.0
1555407044724984442,154,1555407044724673032,,0.0,0.0,1.0
1555407044824894247,155,1555407044824671983,,0.0,0.0,1.0
1555407044924897269,156,1555407044924702882,,1.0,0.0,1.0
1555407045025015124,157,1555407045024669885,,0.0,0.0,1.0
1555407045124821998,158,1555407045124660015,,0.0,1.0,1.0
1555407045225002712,159,1555407045224684953,,0.0,1.0,1.0
1555407045324871938,160,1555407045324675083,,1.0,1.0,1.0
1555407045424905690,161,1555407045424700021,,0.0,1.0,1.0
1555407045525014146,162,1555407045524674892,,0.0,0.0,1.0
1555407045624937476,163,1555407045624701976,,1.0,0.0,1.0
