%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1555406701113857812,1,1555406701113201668,,-2.62355184555,-1.26835298538,2.74641256405
1555406701113867675,2,1555406701113306291,,-2.6213927269,-1.27021169662,2.65684456413
1555406701123257132,3,1555406701122877605,,-2.61935853958,-1.2720284462,2.57083671549
1555406701133674399,4,1555406701133197987,,-2.61748814583,-1.27363991737,2.47917078827
1555406701153298547,5,1555406701152783418,,-2.61521077156,-1.27583789825,2.39559847172
1555406701153387004,6,1555406701152814782,,-2.61341881752,-1.277354002,2.31860155856
1555406701163334540,7,1555406701162988188,,-2.61174273491,-1.27910685539,2.22865877096
1555406701163342156,8,1555406701163015228,,-2.60955667496,-1.28083658218,2.13963199006
1555406701173771601,9,1555406701173294536,,-2.60788869858,-1.28253853321,2.04790346759
1555406701184185039,10,1555406701183678274,,-2.60585284233,-1.28373539448,1.96711278466
1555406701193482464,11,1555406701193007617,,-2.60440540314,-1.28472018242,1.87082374484
1555406701204011990,12,1555406701203566620,,-2.60241985321,-1.28572165966,1.77645130513
1555406701213449894,13,1555406701212973483,,-2.60100102425,-1.28660845757,1.67828740247
1555406701213613671,14,1555406701213014154,,-2.59904527664,-1.2878985405,1.57648120208
1555406701223490759,15,1555406701223226061,,-2.59732532501,-1.28850579262,1.478610168
1555406701234065232,16,1555406701233615404,,-2.59576964378,-1.28901433945,1.3788205419
1555406701253823157,17,1555406701253349228,,-2.59402704239,-1.28909575939,1.28248745084
1555406701253924990,18,1555406701253388458,,-2.59228086472,-1.28955030441,1.18516041527
1555406701263822590,19,1555406701263578815,,-2.59032988548,-1.29082334042,1.0827396325
1555406701263963592,20,1555406701263607462,,-2.5890994072,-1.29079461098,0.964543431076
1555406701273053907,21,1555406701272808740,,-2.58679413795,-1.29121220112,0.878640744236
1555406701283698139,22,1555406701283172212,,-2.58410549164,-1.2919011116,0.776139619647
1555406701293925946,23,1555406701293472186,,-2.58170509338,-1.29188239574,0.666877878414
1555406701303918369,24,1555406701303680443,,-2.58055734634,-1.29152178764,0.564398552316
1555406701313523916,25,1555406701313007173,,-2.57780766487,-1.2913620472,0.468194128902
1555406701313618151,26,1555406701313042877,,-2.57581186295,-1.29280602932,0.364840449314
1555406701323459045,27,1555406701323231802,,-2.57333016396,-1.29232537746,0.258487566916
1555406701333767126,28,1555406701333470182,,-2.57044577599,-1.29280233383,0.158419356545
1555406701353532706,29,1555406701353006801,,-2.56817817688,-1.29317510128,0.0609564040003
1555406701353635892,30,1555406701353043674,,-2.56499242783,-1.29322373867,-0.047306582525
1555406701363469460,31,1555406701363237001,,-2.56234002113,-1.29410743713,-0.146945644128
1555406701363612104,32,1555406701363252734,,-2.55957508087,-1.29501545429,-0.231384049586
1555406701373671583,33,1555406701373436217,,-2.55670952797,-1.29615390301,-0.320929240144
1555406701384283219,34,1555406701383779555,,-2.5540163517,-1.29655969143,-0.435800086672
1555406701393528484,35,1555406701393095890,,-2.55152487755,-1.29741060734,-0.524565184646
1555406701403691052,36,1555406701403431186,,-2.54841089249,-1.29858529568,-0.616677828449
1555406701414213788,37,1555406701413736074,,-2.54437398911,-1.30048084259,-0.702650410415
1555406701414370747,38,1555406701413769123,,-2.54181599617,-1.30133652687,-0.801537378485
1555406701423185427,39,1555406701422957552,,-2.53964924812,-1.30335462093,-0.868479204784
1555406701433819654,40,1555406701433326539,,-2.53541135788,-1.3051584959,-0.94824133953
1555406701463912736,41,1555406701463439092,,-2.53296923637,-1.30726158619,-1.03174754076
1555406701464069427,42,1555406701463488683,,-2.52406096458,-1.31419837475,-1.25963125761
1555406701473950995,43,1555406701473676975,,-2.52142739296,-1.31637334824,-1.33046428394
1555406701483548067,44,1555406701483026069,,-2.51855158806,-1.31911253929,-1.39305752569
1555406701493777379,45,1555406701493354695,,-2.5151488781,-1.32218587399,-1.46105973393
1555406701504220382,46,1555406701503729196,,-2.51260042191,-1.32524704933,-1.5235567875
1555406701513579013,47,1555406701513083790,,-2.50983119011,-1.32784450054,-1.5886985391
1555406701513711803,48,1555406701513119278,,-2.50761222839,-1.33104121685,-1.64182144086
1555406701523551824,49,1555406701523309326,,-2.50525832176,-1.3340241909,-1.69764451778
1555406701533778562,50,1555406701533505728,,-2.50336098671,-1.33727145195,-1.74109395575
1555406701543259135,51,1555406701542735955,,-2.50048470497,-1.34089446068,-1.80339513727
1555406701564117886,52,1555406701563633797,,-2.49761390686,-1.34447288513,-1.86709129014
1555406701564237314,53,1555406701563675745,,-2.4927945137,-1.35202991962,-1.958078226
1555406701573147067,54,1555406701572865900,,-2.49040269852,-1.35603249073,-2.0147813172
1555406701583737838,55,1555406701583228595,,-2.48908686638,-1.35952079296,-2.05738587836
1555406701593998813,56,1555406701593585423,,-2.48783421516,-1.36387276649,-2.10821298363
1555406701603070699,57,1555406701602827370,,-2.48628234863,-1.36771702766,-2.13906718611
1555406701613646740,58,1555406701613141304,,-2.48441243172,-1.3725438118,-2.2135664793
1555406701613747576,59,1555406701613176178,,-2.48394322395,-1.37675833702,-2.24949907953
1555406701623593943,60,1555406701623365095,,-2.48274302483,-1.38114404678,-2.29510179877
1555406701633851736,61,1555406701633556797,,-2.4820086956,-1.38577544689,-2.33448456752
