%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1555406918074103130,8,1555406918073937892,,0.0,0.0,1.0
1555406918174249818,9,1555406918174010992,,1.0,0.0,1.0
1555406918274170652,10,1555406918273950099,,1.0,0.0,1.0
1555406918374245959,11,1555406918374015092,,1.0,1.0,1.0
1555406918474209057,12,1555406918473959922,,1.0,0.0,1.0
1555406918574270572,13,1555406918574013948,,0.0,0.0,1.0
1555406918674243578,14,1555406918673990011,,0.0,1.0,1.0
1555406918774272991,15,1555406918774014949,,0.0,0.0,1.0
1555406918874252451,16,1555406918873972892,,0.0,0.0,1.0
1555406918974136357,17,1555406918973938941,,1.0,1.0,1.0
1555406919074129277,18,1555406919073932886,,0.0,0.0,1.0
1555406919174152180,19,1555406919173943042,,0.0,1.0,1.0
1555406919274383296,20,1555406919274019956,,0.0,0.0,1.0
1555406919374123283,21,1555406919373917102,,1.0,0.0,1.0
1555406919474252845,22,1555406919474005937,,1.0,1.0,1.0
1555406919574299878,23,1555406919574008941,,1.0,1.0,1.0
1555406919674419890,24,1555406919674011945,,1.0,1.0,1.0
1555406919774311367,25,1555406919774012088,,0.0,1.0,1.0
1555406919874405085,26,1555406919874010086,,1.0,1.0,1.0
1555406919974251918,27,1555406919974011898,,0.0,0.0,1.0
1555406920074236732,28,1555406920073977947,,0.0,1.0,1.0
1555406920174199711,29,1555406920173954963,,1.0,0.0,1.0
1555406920274174668,30,1555406920273952960,,1.0,0.0,1.0
1555406920374188703,31,1555406920373950958,,0.0,0.0,1.0
1555406920474197061,32,1555406920473957061,,0.0,1.0,1.0
1555406920574244353,33,1555406920573992013,,1.0,0.0,1.0
1555406920674352942,34,1555406920674024105,,0.0,0.0,1.0
1555406920774146997,35,1555406920773952007,,0.0,0.0,1.0
1555406920874146083,36,1555406920873938083,,1.0,0.0,1.0
1555406920974260187,37,1555406920974009990,,0.0,0.0,1.0
1555406921074185116,38,1555406921073960065,,0.0,1.0,1.0
1555406921174242015,39,1555406921174009084,,0.0,1.0,1.0
1555406921274352407,40,1555406921273977041,,0.0,1.0,1.0
