%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1554974606292472218,7,1554974606292215108,,0.0,1.0,1.0
1554974606392492791,8,1554974606392231941,,0.0,1.0,1.0
1554974606492475481,9,1554974606492233991,,0.0,0.0,1.0
1554974606592515658,10,1554974606592228889,,1.0,1.0,1.0
1554974606692399521,11,1554974606692189931,,1.0,1.0,1.0
1554974606792493151,12,1554974606792220115,,1.0,0.0,1.0
1554974606892519120,13,1554974606892235040,,0.0,0.0,1.0
1554974606992451420,14,1554974606992214918,,1.0,0.0,1.0
1554974607092372612,15,1554974607092154026,,0.0,0.0,1.0
1554974607192482141,16,1554974607192209005,,0.0,0.0,1.0
1554974607292514986,17,1554974607292237997,,1.0,0.0,1.0
1554974607392639292,18,1554974607392230033,,0.0,1.0,1.0
1554974607492526489,19,1554974607492228984,,0.0,0.0,1.0
1554974607592485745,20,1554974607592231035,,0.0,0.0,1.0
1554974607692485142,21,1554974607692207098,,1.0,1.0,1.0
1554974607792477269,22,1554974607792243957,,1.0,0.0,1.0
1554974607892495800,23,1554974607892211914,,0.0,1.0,1.0
1554974607992487002,24,1554974607992228984,,1.0,1.0,1.0
1554974608092470459,25,1554974608092231035,,0.0,0.0,1.0
1554974608192517149,26,1554974608192231893,,1.0,1.0,1.0
1554974608292484750,27,1554974608292229890,,1.0,1.0,1.0
1554974608392480644,28,1554974608392227888,,0.0,0.0,1.0
1554974608492474435,29,1554974608492230892,,1.0,1.0,1.0
1554974608592478469,30,1554974608592230081,,1.0,1.0,1.0
1554974608692500369,31,1554974608692230939,,1.0,0.0,1.0
1554974608792524932,32,1554974608792227983,,1.0,0.0,1.0
1554974608892489641,33,1554974608892230033,,1.0,1.0,1.0
1554974608992554087,34,1554974608992172956,,0.0,0.0,1.0
1554974609092573470,35,1554974609092209100,,1.0,0.0,1.0
1554974609192353417,36,1554974609192153930,,1.0,0.0,1.0
1554974609292475475,37,1554974609292228937,,0.0,0.0,1.0
1554974609392402519,38,1554974609392184972,,0.0,0.0,1.0
1554974609492686207,39,1554974609492295026,,1.0,0.0,1.0
1554974609592480540,40,1554974609592228889,,1.0,1.0,1.0
1554974609692653783,41,1554974609692229986,,0.0,1.0,1.0
1554974609792490303,42,1554974609792229890,,0.0,0.0,1.0
1554974609892463061,43,1554974609892218112,,0.0,1.0,1.0
1554974609992482103,44,1554974609992203950,,1.0,0.0,1.0
1554974610092486050,45,1554974610092233896,,0.0,0.0,1.0
1554974610192497967,46,1554974610192207098,,1.0,1.0,1.0
1554974610292442584,47,1554974610292190074,,1.0,0.0,1.0
1554974610392492572,48,1554974610392227888,,1.0,1.0,1.0
1554974610492441982,49,1554974610492202997,,0.0,0.0,1.0
1554974610592474031,50,1554974610592228889,,0.0,1.0,1.0
1554974610692605838,51,1554974610692195892,,0.0,1.0,1.0
1554974610792435528,52,1554974610792191028,,0.0,1.0,1.0
1554974610892514478,53,1554974610892227888,,0.0,1.0,1.0
1554974610992514682,54,1554974610992227077,,1.0,0.0,1.0
1554974611092460140,55,1554974611092204093,,0.0,1.0,1.0
1554974611192489030,56,1554974611192238092,,0.0,0.0,1.0
1554974611292509349,57,1554974611292227983,,0.0,1.0,1.0
1554974611392524493,58,1554974611392235994,,0.0,1.0,1.0
1554974611492483859,59,1554974611492227077,,1.0,1.0,1.0
1554974611592531707,60,1554974611592227935,,1.0,0.0,1.0
1554974611692458846,61,1554974611692203998,,1.0,1.0,1.0
1554974611792478277,62,1554974611792203903,,1.0,1.0,1.0
1554974611892493959,63,1554974611892226934,,1.0,0.0,1.0
1554974611992512596,64,1554974611992225885,,0.0,0.0,1.0
1554974612092531220,65,1554974612092288017,,0.0,0.0,1.0
1554974612192465180,66,1554974612192184925,,0.0,1.0,1.0
1554974612292541700,67,1554974612292249917,,0.0,0.0,1.0
1554974612392474676,68,1554974612392230987,,0.0,0.0,1.0
1554974612492493656,69,1554974612492230892,,0.0,1.0,1.0
1554974612592522489,70,1554974612592231035,,0.0,1.0,1.0
1554974612692471325,71,1554974612692229032,,0.0,0.0,1.0
1554974612792489345,72,1554974612792233943,,0.0,1.0,1.0
1554974612892634050,73,1554974612892234086,,1.0,0.0,1.0
1554974612992474865,74,1554974612992208957,,1.0,0.0,1.0
1554974613092468275,75,1554974613092230081,,1.0,0.0,1.0
1554974613192426307,76,1554974613192174911,,1.0,0.0,1.0
1554974613292487556,77,1554974613292227983,,0.0,0.0,1.0
1554974613392434254,78,1554974613392189979,,0.0,1.0,1.0
1554974613492488570,79,1554974613492247104,,0.0,1.0,1.0
1554974613592493345,80,1554974613592205047,,0.0,0.0,1.0
1554974613692422684,81,1554974613692188978,,1.0,0.0,1.0
1554974613792493090,82,1554974613792216062,,0.0,1.0,1.0
1554974613892475113,83,1554974613892189025,,0.0,0.0,1.0
1554974613992412742,84,1554974613992160081,,0.0,1.0,1.0
1554974614092485346,85,1554974614092232942,,1.0,1.0,1.0
1554974614192511749,86,1554974614192234992,,1.0,0.0,1.0
1554974614292471366,87,1554974614292202949,,1.0,0.0,1.0
1554974614392459488,88,1554974614392205953,,1.0,1.0,1.0
1554974614492483699,89,1554974614492225885,,0.0,0.0,1.0
1554974614592622856,90,1554974614592227935,,1.0,1.0,1.0
1554974614692497700,91,1554974614692230939,,0.0,0.0,1.0
1554974614792505139,92,1554974614792228937,,0.0,0.0,1.0
1554974614892595039,93,1554974614892230987,,1.0,0.0,1.0
1554974614992490810,94,1554974614992225885,,1.0,1.0,1.0
1554974615092459220,95,1554974615092211961,,0.0,1.0,1.0
1554974615192622861,96,1554974615192228078,,0.0,1.0,1.0
1554974615292474857,97,1554974615292232990,,1.0,0.0,1.0
1554974615392623400,98,1554974615392225980,,0.0,0.0,1.0
1554974615492465651,99,1554974615492227077,,0.0,1.0,1.0
1554974615592400088,100,1554974615592166900,,1.0,0.0,1.0
1554974615692321511,101,1554974615692115068,,0.0,1.0,1.0
1554974615792483585,102,1554974615792243957,,0.0,1.0,1.0
1554974615892469999,103,1554974615892225980,,0.0,1.0,1.0
1554974615992526266,104,1554974615992176055,,0.0,0.0,1.0
1554974616092503015,105,1554974616092236042,,1.0,1.0,1.0
1554974616192469798,106,1554974616192224979,,0.0,0.0,1.0
1554974616292603785,107,1554974616292166948,,1.0,0.0,1.0
1554974616392511997,108,1554974616392230033,,1.0,0.0,1.0
1554974616492598115,109,1554974616492228984,,1.0,0.0,1.0
1554974616592422669,110,1554974616592190027,,1.0,0.0,1.0
1554974616692661447,111,1554974616692431926,,0.0,0.0,1.0
1554974616792433608,112,1554974616792193889,,0.0,0.0,1.0
1554974616892374593,113,1554974616892139911,,0.0,1.0,1.0
1554974616992463220,114,1554974616992227077,,1.0,0.0,1.0
1554974617092468674,115,1554974617092226982,,1.0,1.0,1.0
1554974617192520161,116,1554974617192229032,,0.0,1.0,1.0
1554974617292520151,117,1554974617292233943,,0.0,0.0,1.0
1554974617392475326,118,1554974617392198085,,1.0,1.0,1.0
1554974617492466228,119,1554974617492192983,,1.0,0.0,1.0
1554974617592433825,120,1554974617592192888,,1.0,0.0,1.0
1554974617692503668,121,1554974617692257881,,1.0,1.0,1.0
1554974617792382800,122,1554974617792192935,,0.0,1.0,1.0
1554974617892367165,123,1554974617892160892,,1.0,1.0,1.0
1554974617992279002,124,1554974617992108106,,1.0,0.0,1.0
1554974618092392906,125,1554974618092187881,,0.0,1.0,1.0
1554974618192474101,126,1554974618192228078,,1.0,0.0,1.0
1554974618292481185,127,1554974618292231082,,1.0,1.0,1.0
1554974618392387204,128,1554974618392163038,,1.0,1.0,1.0
1554974618492482174,129,1554974618492233037,,0.0,0.0,1.0
1554974618592473806,130,1554974618592199087,,1.0,0.0,1.0
1554974618692398136,131,1554974618692167997,,0.0,1.0,1.0
1554974618792420982,132,1554974618792186975,,1.0,1.0,1.0
1554974618892363497,133,1554974618892151117,,0.0,1.0,1.0
1554974618992442822,134,1554974618992192029,,0.0,0.0,1.0
1554974619092413362,135,1554974619092190027,,0.0,0.0,1.0
1554974619192341767,136,1554974619192181110,,1.0,1.0,1.0
1554974619292405880,137,1554974619292167901,,0.0,1.0,1.0
1554974619392471046,138,1554974619392194032,,1.0,1.0,1.0
1554974619492475418,139,1554974619492197990,,0.0,1.0,1.0
1554974619592517889,140,1554974619592235088,,0.0,1.0,1.0
1554974619692455851,141,1554974619692209959,,0.0,1.0,1.0
1554974619792578774,142,1554974619792193889,,0.0,1.0,1.0
1554974619892613785,143,1554974619892227888,,1.0,0.0,1.0
1554974619992497858,144,1554974619992202997,,1.0,0.0,1.0
1554974620092482242,145,1554974620092236042,,0.0,1.0,1.0
1554974620192332625,146,1554974620192173004,,1.0,1.0,1.0
1554974620292496276,147,1554974620292236089,,1.0,0.0,1.0
1554974620392441946,148,1554974620392191886,,0.0,0.0,1.0
